"julian","SE","data","dia","casos","twits","tmin","tmed","tmax","t18","t24","t28","t32","mmchuva","diaschuva","umin","umed","casosq","Rt"
1192,171,201315,"7Apr2013",4966,1369,23.2428571428571,26.5757008616384,35.975,6.99826388888889,5.28211805555556,2.12934027777778,0.6171875,35.8,0.260416666666667,53.6875,74.6299486008909,9876,1.13791911510543
1199,172,201316,"14Apr2013",4152,783,20.6946428571429,24.0701386183865,32.5,6.97135416666667,3.28819444444444,0.696180555555556,0.0381944444444444,4.375,0.0529513888888889,48.95,72.4634309739154,9118,0.923248278655326
1206,173,201317,"21Apr2013",2936,601,NA,24.0929994991028,31.98625,6.74739583333333,3.17361111111111,1.1171875,0.0755208333333333,1.075,0.0138888888888889,Inf,71.3108499649476,7088,0.777363456898443
1213,174,201318,"28Apr2013",2453,443,NA,26.5396933217044,35.8375,6.11111111111111,4.35069444444444,2.00260416666667,0.623263888888889,0.025,0.000868055555555556,Inf,69.8771688037411,5389,0.760299097065463
1220,175,201319,"5May2013",1850,368,18.4625,22.9692226641002,31.8625,6.38888888888889,2.47829861111111,0.728298611111111,0.0442708333333333,15.85,0.126736111111111,45.6875,70.515614547571,4303,0.798478381889033
1227,176,201320,"12May2013",1250,304,21.2821428571429,25.0185992590711,36.2375,6.83246527777778,3.46614583333333,1.49131944444444,0.663194444444444,36.95,0.386284722222222,51.9678571428571,74.6070143656945,3100,0.720427608645131
1234,177,201321,"19May2013",940,206,19.9589285714286,23.1718181156044,30.775,6.84027777777778,2.64236111111111,0.410590277777778,0.00954861111111111,16.325,0.203125,58.1767857142857,79.6141666745411,2190,0.706451612903226
1241,178,201322,"26May2013",558,193,20.2267857142857,24.2590437022589,33.75,6.86631944444444,3.52170138888889,1.22395833333333,0.157986111111111,8.875,0.127604166666667,52.1857142857143,74.0582352241803,1498,0.684018264840183
1248,179,201323,"2Jun2013",455,164,20.3517857142857,23.5932852788601,31.975,6.66927083333333,2.49131944444444,0.792534722222222,0.0503472222222222,25.125,0.243055555555556,60.4232142857143,82.4364017599181,1013,0.676234979973298
1255,180,201324,"9Jun2013",381,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,836,0.825271470878578
1262,181,201325,"16Jun2013",291,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672,0.803827751196172
1269,182,201326,"23Jun2013",212,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,0.748511904761905
1276,183,201327,"30Jun2013",178,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,0.775347912524851
1283,184,201328,"7Jul2013",133,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,0.797435897435897
1290,185,201329,"14Jul2013",122,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,0.819935691318328
1297,186,201330,"21Jul2013",62,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,0.72156862745098
1304,187,201331,"28Jul2013",73,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,0.733695652173913
1311,188,201332,"4Aug2013",56,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,0.955555555555556
1318,189,201333,"11Aug2013",39,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,0.736434108527132
1325,190,201334,"18Aug2013",49,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,0.926315789473684
1332,191,201335,"25Aug2013",35,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,0.954545454545455
1339,192,201336,"1Sep2013",46,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,0.964285714285714
1346,193,201337,"8Sep2013",50,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,1.18518518518519
1353,194,201338,"15Sep2013",39,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,0.927083333333333
1360,195,201339,"22Sep2013",57,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,1.07865168539326
